"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1973422574207115610","Wed Oct 01 16:19:40 +0000 2025","28","daripada tepuk sakinah mending aku tepuk ur ass","1973422574207115610","","","in","","1","7","1","https://x.com/undefined/status/1973422574207115610","1757483157291773953",
"1975795935025504634","Wed Oct 08 05:30:34 +0000 2025","35","Siapa yg pengen nikah tapi belom hafal tepuk sakinah? Cuuung sing duwur️ https://t.co/SvCDaj6ju6","1975795935025504634","https://pbs.twimg.com/media/G2tv5mtaAAA4uit.jpg","","in","","0","13","6","https://x.com/undefined/status/1975795935025504634","1615310330724487169",
"1974503120974782882","Sat Oct 04 15:53:23 +0000 2025","64","Besok kalo russtappen podium beneran gw bikinin pidio mereka tepuk sakinah nih anjim wkwkwk","1974503120974782882","","","in","","1","8","0","https://x.com/undefined/status/1974503120974782882","1147309753128779776",
"1973678653214195780","Thu Oct 02 09:17:14 +0000 2025","5","Yg pada nikah tahun ini pas akad emg beneran harus tepuk sakinah kah?","1973678653214195780","","","in","","0","6","0","https://x.com/undefined/status/1973678653214195780","2994628404",
"1974648513322770608","Sun Oct 05 01:31:07 +0000 2025","3","Menurut gue KUA dan @Kemenag_RI harus sosialisasiin program persiapan pernikahan isinya apa aja deh. Ga mungkin cuma tepuk sakinah kan? Biar warga tuh juga ga lgsg bilang persiapan dr KUA tuh useless gitu loh. (Gue jg gatau apa tapi masih husnuzhan ada fondasi yg riil).","1974648513322770608","","","in","","0","2","1","https://x.com/undefined/status/1974648513322770608","31374464",
"1974863862886523175","Sun Oct 05 15:46:50 +0000 2025","6","Ayo kita tepuk sakinah @.yum https://t.co/jFMTOiBv2D","1974863862886523175","https://pbs.twimg.com/media/G2ggNgAa0AAdx9y.jpg","","in","","0","5","0","https://x.com/undefined/status/1974863862886523175","1633748275999432704",
"1974335889905233979","Sat Oct 04 04:48:52 +0000 2025","3","Tepuk sakinah didn't even save jebens marriage","1974335889905233979","","","en","","0","3","0","https://x.com/undefined/status/1974335889905233979","1554798372120190976",
"1973714533803049186","Thu Oct 02 11:39:49 +0000 2025","37","meo mau tepuk sakinah ga sama yasmin? https://t.co/B3vJoniO9w","1973714533803049186","https://pbs.twimg.com/amplify_video_thumb/1965723114970771457/img/jo5doa2v7yYzhMd0.jpg","","in","","0","0","3","https://x.com/undefined/status/1973714533803049186","1963051681358479361",
"1975092159402701289","Mon Oct 06 06:54:00 +0000 2025","20","sbnrnya pemerintah tuh purposefully ragebaiting rakyat apa gmn sih mank org sebego itu ya buat percaya tepuk sakinah tepuk coretax gw tepuk bapak lo https://t.co/vc4kRH086U","1975092159402701289","https://pbs.twimg.com/media/G2jv2QTaYAAvDhG.jpg","","in","","0","2","0","https://x.com/undefined/status/1975092159402701289","953008813",
"1973740859884773568","Thu Oct 02 13:24:25 +0000 2025","43","Pada tanya kok tau AI generated.","1973740859884773568","","","in","","0","3","2","https://x.com/undefined/status/1973740859884773568","998978248477298688",
"1973890749113774473","Thu Oct 02 23:38:49 +0000 2025","26","@imrenagi Positive thinking itu mungkin akun alter github dia aja ","1973895475079401621","","imrenagi","in","","0","2","1","https://x.com/undefined/status/1973895475079401621","998978248477298688",
"1974849393376547109","Sun Oct 05 14:49:20 +0000 2025","10","Ketika dirumah gak punya beras cukup lakukan tepuk sakinah . https://t.co/TdBLhOT6sK","1974849393376547109","https://pbs.twimg.com/media/G2gTC1jbcAETqPh.jpg","","in","","0","9","3","https://x.com/undefined/status/1974849393376547109","1194834531632607232",
"1974853659327603001","Sun Oct 05 15:06:18 +0000 2025","11","tinggal tepuk sakinah aja inimah https://t.co/jQXLd2ADZL","1974853659327603001","https://pbs.twimg.com/media/G2gW7wqbwAA3uxp.jpg","","in","","0","13","0","https://x.com/undefined/status/1974853659327603001","1814188336380329984",
"1972563702114308396","Mon Sep 29 07:26:49 +0000 2025","20","Ada yang mau tepuk sakinah sama oncomie ga?? https://t.co/Nbmp7wW7jR","1972563702114308396","https://pbs.twimg.com/media/G1_0OOPaMAAVfaw.jpg","","in","","0","4","1","https://x.com/undefined/status/1972563702114308396","2485281170",
